theta,Ff,Fr,hard_f,hard_r,soft_vy_signed_f,soft_vy_signed_r,cubic_f,cubic_r,qfu,qfv,qru,qrv
1.86,2.847832095856059,1.1701898090658132,12.026929839990867,20.075080999186433,0.07297085704884398,-0.9999999762544619,-14.865846386199479,-72.42973985763359,0.9007335020116138,0.2224270739916387,0.09959159521642609,0.8008785171463302
1.87,2.8409772701732203,1.1674682085466568,11.982806187757829,20.01414114407225,0.07281220800910991,-0.9999999766144666,-14.805263338949787,-72.3132981485284,0.9006366872570397,0.22254810072158474,0.09958527737050632,0.8008906655576771
1.8800000000000001,2.8340883077766708,1.1647326852672277,11.938591319269811,19.9530187832899,0.07265182836814647,-0.9999999769732525,-14.74424862894558,-72.1957965338825,0.9005394834562578,0.22266936336768264,0.09957894854766829,0.8009028341405526
1.8900000000000001,2.8271653125152207,1.1619832714016438,11.89428704411703,19.891715804180315,0.07248969397909057,-0.9999999773307763,-14.682800552540913,-72.07723222054621,0.9004418908382131,0.2227908563190005,0.09957260896606274,0.8009150224722826
1.9000000000000001,2.8202083900030095,1.159219999747083,11.849895168912958,19.830234094554147,0.0723257801205751,-0.9999999776869941,-14.620917368854458,-71.95760248538006,0.9003439095554336,0.22291257396403838,0.09956625884250658,0.800927230132939
1.9100000000000001,2.813217647624829,1.1564429037269846,11.805417497145577,19.768575542595823,0.0721600614782019,-0.9999999780418634,-14.558597306377894,-71.83690468535838,0.9002455396810863,0.22303451069128144,0.0995598983924789,0.8009394567053454
1.92,2.8061931945413066,1.1536520173941887,11.760855829028554,19.706742036768176,0.07199251212498443,-0.9999999783953402,-14.495838553535584,-71.7151362507288,0.9001467812058777,0.2231566608897645,0.09955352783011893,0.8009517017750828
1.93,2.799135141693909,1.1508473754340123,11.716211961352712,19.64473546571798,0.07182310550089328,-0.999999978747381,-14.432639263103537,-71.59229468950687,0.900047634034817,0.22327901894964533,0.09954714736822429,0.8009639649304937
1.94,2.7920436018097985,1.148029013167233,11.671487687337027,19.58255771818184,0.07165181439119521,-0.999999979097943,-14.368997544743591,-71.4683775872989,0.8999480979837967,0.22340157926279164,0.09954075721824805,0.8009762457626851
1.95,2.7849186894063,1.145196966553028,11.626684796481927,19.52021068289293,0.07147861090437678,-0.9999999794469825,-14.304911465665896,-71.34338260448983,0.8998481727761254,0.22352433622336387,0.09953435759029847,0.8009885438655316
1.96,2.777760520795268,1.1423512721918256,11.581805074421915,19.457696248488354,0.0713034664487512,-0.9999999797944565,-14.240379046036011,-71.2173074833813,0.8997478580388593,0.22364728422841437,0.09952794869313691,0.8010008588356778
1.97,2.770569214087285,1.1394919673280965,11.536850302778397,19.39501630341711,0.07112635170784488,-0.9999999801403221,-14.175398256847318,-71.09015004672312,0.8996471532989483,0.22377041767849698,0.09952153073417784,0.8010131902725398
1.98,2.76334488919562,1.1366190898530542,11.49182225901308,19.332172735848772,0.07094723661475691,-0.9999999804845355,-14.10996701783464,-70.96190819206899,0.8995460579792361,0.22389373097828474,0.09951510391948755,0.8010255377783054
1.99,2.7560876678398976,1.1337326783073098,11.446722716282736,19.269167433583007,0.0707660903255582,-0.9999999808270542,-14.04408319643532,-70.83257990037112,0.899444571394324,0.22401721853719087,0.09950866845378493,0.8010379009579344
