label,gauge_index,u,v,eta,Fp,Fm,Delta,rho,fold_res
near_zero_slope_tested,16,0.375,0.125,0.075,1.9080650915752284,1.9167132930273447,-0.00864820145211631,-0.002261098704942334,5.978810581501578e-14
near_zero_slope_tested,16,0.375,0.125,0.1,1.899616941653905,1.9118857620197502,-0.012268820365845201,-0.003218893260660709,5.3422043218548814e-14
near_zero_slope_tested,16,0.375,0.125,0.125,1.8890644835794772,1.9055273868268923,-0.01646290324741506,-0.004338517503241269,7.04876520252215e-14
near_zero_slope_tested,16,0.375,0.125,0.15,1.8764456882193608,1.8977401653757882,-0.021294477156427405,-0.005642137929202156,1.264988427834203e-14
near_zero_slope_tested,16,0.375,0.125,0.175,1.8618597900240434,1.888624104221758,-0.026764314197714523,-0.007136229604605903,4.373684212946464e-14
near_zero_slope_tested,16,0.375,0.125,0.2,1.8454927121262557,1.878276076264017,-0.032783364137761284,-0.008803813018673756,5.305553127355392e-15
near_zero_slope_tested,16,0.375,0.125,0.225,1.8276560211390296,1.8667890049503522,-0.039132983811322575,-0.010592384927904949,1.2721163836182545e-14
near_zero_slope_tested,16,0.375,0.125,0.25,1.808847604012058,1.8542513173378004,-0.045403713325742334,-0.012394891402225902,3.098122360834464e-14
near_zero_slope_tested,16,0.375,0.125,0.275,1.7898442228639426,1.840746615035638,-0.05090239217169534,-0.014020415531358554,2.6971984248260557e-14
near_zero_slope_tested,16,0.375,0.125,0.3,1.7718273501996498,1.8263535183310708,-0.05452616813142108,-0.015153815253785804,3.3278778117879886e-14
near_zero_slope_tested,16,0.375,0.125,0.325,1.7564916932746895,1.811145644866549,-0.054653951591859595,-0.015319368649823204,3.751512288758294e-15
near_zero_slope_tested,16,0.375,0.125,0.35,1.7459469002328551,1.7951916900606195,-0.04924478982776437,-0.013906484756837255,6.742887205945291e-14
near_zero_slope_tested,16,0.375,0.125,0.375,1.7421541050415443,1.7785555819259922,-0.036401476884447836,-0.010339244107287137,7.620443518995074e-14
near_zero_slope_tested,16,0.375,0.125,0.4,1.746141559253895,1.7612966879252383,-0.015155128671343387,-0.004320854026020826,2.4509410117598013e-14
near_zero_slope_tested,16,0.375,0.125,0.425,1.7578024567215853,1.7434700559371277,0.014332400784457633,0.004093483364302379,2.320166540202773e-14
near_zero_slope_tested,16,0.375,0.125,0.45,1.776355185886542,1.7251266752493595,0.05122851063718259,0.014630522923961045,1.2295434394329848e-14
near_zero_slope_tested,16,0.375,0.125,0.475,1.800839229544341,1.7063137467497753,0.09452548279456563,0.02695219838812031,3.559198988010819e-14
near_zero_slope_tested,16,0.375,0.125,0.5,1.8303646685452457,1.6870749541907328,0.14328971435451288,0.04073693644329209,3.678338081998913e-14
near_zero_slope_tested,16,0.375,0.125,0.525,1.8641865690599313,1.667450730601673,0.19673583845825826,0.05570669402464097,5.958724835859657e-14
near_zero_slope_tested,16,0.375,0.125,0.55,1.9017062392672133,1.6474785156844753,0.25422772358273793,0.07162989281638522,1.2269635698168713e-14
near_zero_slope_tested,16,0.375,0.125,0.575,1.9424508828499778,1.6271930014088327,0.3152578814411451,0.08831633957419376,8.321219732374205e-14
near_zero_slope_tested,16,0.375,0.125,0.6,1.986050844141536,1.6066263640924887,0.3794244800490474,0.10561051217722756,6.916758566286312e-14
near_zero_slope_tested,16,0.375,0.125,0.625,2.032220223591284,1.58580848206049,0.44641174153079377,0.12338535093252512,3.321812320532519e-14
near_zero_slope_tested,16,0.375,0.125,0.65,2.0807419549865194,1.5647671385788078,0.5159748164077116,0.14153710858065244,3.402761576010609e-14
near_zero_slope_tested,16,0.375,0.125,0.675,2.131457052206983,1.5435282101936054,0.5879288420133775,0.15998127884445673,1.0009931772242185e-13
near_zero_slope_tested,16,0.375,0.125,0.7,2.1842575039249432,1.5221158409143418,0.6621416630106014,0.17864947791418812,5.72684859282516e-14
near_zero_slope_tested,16,0.375,0.125,0.725,2.2390824579827533,1.5005526028862264,0.7385298550965269,0.19748714595827824,4.781075263499609e-14
near_zero_slope_tested,16,0.375,0.125,0.75,2.295917660910556,1.4788596443293744,0.8170580165811814,0.21645197862321258,6.195214932617946e-14
near_zero_slope_tested,16,0.375,0.125,0.775,2.354798585681671,1.4570568255975533,0.8977417600841175,0.23551306731827046,1.6511285083048256e-13
near_zero_slope_tested,16,0.375,0.125,0.8,2.4158184117405725,1.4351628442435196,0.980655567497053,0.25465082853187065,1.1102933434000727e-13
near_zero_slope_tested,16,0.375,0.125,0.825,2.4791433275688166,1.4131953499826504,1.0659479775861662,0.2738579722607069,6.947317980213612e-14
near_zero_slope_tested,16,0.375,0.125,0.85,2.5450402664868483,1.3911710504307553,1.153869216056093,0.29314209099923866,8.382555126426938e-14
near_zero_slope_tested,16,0.375,0.125,0.875,2.6139281755798685,1.3691058084625554,1.244822367117313,0.3125311940858535,3.119663649156542e-13
near_zero_slope_tested,16,0.375,0.125,0.9,2.686479350233217,1.347014731999588,1.339464618233629,0.3320854303800409,3.093760143516619e-14
near_zero_slope_tested,16,0.375,0.125,0.925,2.763844245367492,1.3249122569941876,1.4389319883733043,0.35192410884389236,5.851898894501682e-14
near_zero_slope_tested,16,0.375,0.125,0.95,2.848254420344927,1.3028122243324056,1.5454421960125215,0.37230002028373854,7.1791541047119e-14
near_zero_slope_tested,16,0.375,0.125,0.975,2.945328810726257,1.2807279513356744,1.6646008593905828,0.3938898488856096,1.2526149403957806e-13
near_zero_slope_tested,16,0.375,0.125,1.0,3.071135338539268,1.2586722984999554,1.8124630400393127,0.4186012848549312,1.0065682567884534e-13
published_origin,0,0.0,0.0,0.0,,,0.0,0.0,
published_origin,0,0.0,0.0,0.025,2.4354139605713327,2.3645482936351025,0.0708656669362302,0.01476379670988605,6.188457411702418e-14
published_origin,0,0.0,0.0,0.05,2.4711717920771363,2.329457749456503,0.14171404262063314,0.02951988721365912,4.832617046601703e-14
published_origin,0,0.0,0.0,0.075,2.507135214760975,2.2946073673553604,0.2125278474056147,0.044260566611203984,2.0032790871627236e-14
published_origin,0,0.0,0.0,0.1,2.5432962676979027,2.2600064423149573,0.28328982538294545,0.058978132856879015,2.7940093933668332e-14
published_origin,0,0.0,0.0,0.125,2.579647266722163,2.225664509154241,0.35398275756792197,0.07366488878931518,4.990113210355932e-14
published_origin,0,0.0,0.0,0.15,2.6161808032365723,2.1915913266132567,0.4245894766233156,0.08831314487373129,1.6501260152062293e-13
published_origin,0,0.0,0.0,0.175,2.65288974151549,2.15779685794723,0.49509288356826,0.10291522287557753,7.469028448269834e-14
published_origin,0,0.0,0.0,0.2,2.6897672146413365,2.124291247797112,0.5654759668442244,0.11746346066553495,6.30002352908348e-14
published_origin,0,0.0,0.0,0.225,2.726806619129214,2.0910847951381726,0.6357218239910414,0.13195021832755646,5.983566297594443e-14
published_origin,0,0.0,0.0,0.25,2.764001608129127,2.058187922154093,0.7058136859750341,0.1463678856964338,4.6856818254941266e-14
published_origin,0,0.0,0.0,0.275,2.8013460827364356,2.0256111389426468,0.7757349437937888,0.16070889137151817,5.98835211758788e-14
published_origin,0,0.0,0.0,0.3,2.8388341800676775,1.9933650040311677,0.8454691760365098,0.17496571308953213,3.210985477275949e-14
published_origin,0,0.0,0.0,0.325,2.8764602543750115,1.961460080765021,0.9150001736099904,0.18913088894083782,1.530320289767467e-14
published_origin,0,0.0,0.0,0.35,2.9142188400643496,1.9299068897299034,0.9843119503344462,0.2031970277485455,2.4788842644106013e-14
published_origin,0,0.0,0.0,0.375,2.952104558383898,1.898715857476811,1.053388700907087,0.2171568127863126,2.436578055550824e-14
published_origin,0,0.0,0.0,0.4,2.9901118057287097,1.8678972619348515,1.1222145437938582,0.23100297429736635,3.0187809991440706e-14
published_origin,0,0.0,0.0,0.425,3.0282332700646015,1.8374611750178471,1.1907720950467544,0.24472808732373594,1.3858777235780261e-14
published_origin,0,0.0,0.0,0.45,3.0664471194349496,1.8074174030517942,1.2590297163831554,0.25832267404527137,1.577560052302679e-14
published_origin,0,0.0,0.0,0.475,3.1043841433551957,1.777775425766252,1.3266087175889438,0.2717258006025537,5.996690969223846e-14
published_origin,0,0.0,0.0,0.5,3.139363787348593,1.7485443346981098,1.3908194526504831,0.2845428796783742,1.2220728903713222e-14
published_origin,0,0.0,0.0,0.525,3.169565121817635,1.7197327719447115,1.4498323498729235,0.29653180914228733,1.7200782951090065e-14
published_origin,0,0.0,0.0,0.55,3.1948788978453844,1.6913488702693107,1.5035300275760737,0.30770772443057776,1.9496543316940308e-14
published_origin,0,0.0,0.0,0.575,3.2154452735048498,1.6634001955997189,1.552045077905131,0.31811728568439024,5.2410145773044124e-14
published_origin,0,0.0,0.0,0.6,3.2314690195993423,1.6358936929667622,1.59557532663258,0.3278110592648606,6.930622175566404e-14
published_origin,0,0.0,0.0,0.625,3.2431847392158093,1.6088356368997863,1.634349102316023,0.33683887857545264,3.4646197160694336e-14
published_origin,0,0.0,0.0,0.65,3.250843439790572,1.5822315872308672,1.668611852559705,0.3452484894669737,9.426126903224206e-14
published_origin,0,0.0,0.0,0.675,3.2547048647616452,1.556086351158875,1.6986185136027703,0.3530850617631196,7.400528877153889e-14
published_origin,0,0.0,0.0,0.7,3.255032133681442,1.5304039522917663,1.7246281813896756,0.36039101774753723,5.878894305380928e-14
published_origin,0,0.0,0.0,0.725,3.2520876408359287,1.5051876072261077,1.746900033609821,0.36720600396654635,1.3126448228124454e-13
published_origin,0,0.0,0.0,0.75,3.246129813013417,1.4804397100429587,1.7656901029704581,0.37356693778804234,5.629363041762657e-14
published_origin,0,0.0,0.0,0.775,3.2374105390113828,1.4561618249074315,1.7812487141039512,0.3795080966039968,9.576244341611437e-14
published_origin,0,0.0,0.0,0.8,3.2261731609204927,1.4323546867638488,1.7938184741566439,0.3850612323908966,1.3570692100436903e-13
published_origin,0,0.0,0.0,0.825,3.212650947976203,1.4090182099279538,1.803632738048249,0.3902557012250881,8.731927803092219e-14
published_origin,0,0.0,0.0,0.85,3.1970659872391964,1.3861515042006698,1.8109144830385266,0.39511860094372453,1.4684804469228242e-13
published_origin,0,0.0,0.0,0.875,3.179628432434234,1.363752897970825,1.8158755344634088,0.3996749122313968,1.5011973312551177e-13
