F0,period,u,v,m,n,res,dy
1.95,70.0,1.9999999999999993,-2.0,2.0,-2.0,6.661338147750939e-16,-1.7320508075688772
1.975,70.0,2.0000000000000018,-2.000000000000001,2.0,-2.0,1.538370149106851e-15,-1.732050807568878
2.0,70.0,2.000000000000003,-2.0000000000000004,2.0,-2.0,2.912087692897636e-15,-1.7320508075688774
2.025,70.0,2.000000000000001,-2.0,2.0,-2.0,8.881784197001252e-16,-1.7320508075688772
2.05,70.0,1.999999999999961,-1.9999999999999982,2.0,-2.0,3.8222642457963497e-14,-1.7320508075688756
2.075,70.0,2.000000000000391,-2.0000000000001172,2.0,-2.0,3.4734930874858874e-13,-1.7320508075689787
2.1,70.0,1.9999999999997125,-1.9999999999998594,2.0,-2.0,2.490444805512942e-13,-1.7320508075687555
2.125,70.0,1.9999999999999305,-1.9999999999999871,2.0,-2.0,6.403937325748245e-14,-1.732050807568866
2.15,70.0,1.0000000000000457,-1.9999999999999714,1.0,-2.0,6.498400062375203e-14,-1.7320508075688523
2.175,70.0,1.0,-3.0000000000000004,1.0,-3.0,4.4408920985006257e-16,-2.598076211353316
2.2,70.0,1.0000000000000002,-3.0000000000000004,1.0,-3.0,3.8459253727671276e-16,-2.598076211353316
2.225,70.0,1.0,-3.0000000000000004,1.0,-3.0,4.4408920985006257e-16,-2.598076211353316
2.25,70.0,1.0000000000000002,-3.0000000000000004,1.0,-3.0,3.8459253727671276e-16,-2.598076211353316
2.275,70.0,1.9999999999999996,-2.999999999999999,2.0,-3.0,7.691850745534255e-16,-2.598076211353315
2.3,70.0,2.0,-3.0000000000000013,2.0,-3.0,1.3322676295501878e-15,-2.598076211353317
2.325,70.0,2.0000000000000004,-2.999999999999999,2.0,-3.0,1.1749496091904413e-15,-2.598076211353315
2.35,70.0,2.000000000000034,-3.0000000000000124,2.0,-3.0,2.9978488725635215e-14,-2.5980762113533267
2.375,70.0,2.999999999999999,-4.0,3.0,-4.0,8.881784197001252e-16,-3.4641016151377544
2.4,70.0,3.0,-4.0,3.0,-4.0,0.0,-3.4641016151377544
2.425,70.0,3.0000000000000004,-4.000000000000001,3.0,-4.0,7.691850745534255e-16,-3.464101615137755
2.45,70.0,3.0,-4.0,3.0,-4.0,0.0,-3.4641016151377544
2.475,70.0,2.0,-4.0,2.0,-4.0,0.0,-3.4641016151377544
2.5,70.0,2.0,-4.0,2.0,-4.0,0.0,-3.4641016151377544
2.525,70.0,2.000000000000003,-4.000000000000006,2.0,-4.0,5.384295521873979e-15,-3.4641016151377597
2.55,70.0,2.0000000000000004,-4.0,2.0,-4.0,4.440892098500626e-16,-3.4641016151377544
2.575,70.0,1.9999999999999998,-4.0,2.0,-4.0,2.220446049250313e-16,-3.4641016151377544
2.6,70.0,2.0000000000000067,-3.9999999999999964,2.0,-4.0,8.981148454337477e-15,-3.4641016151377513
2.625,70.0,2.0000000000000298,-4.999999999999968,2.0,-5.0,5.3469889991912755e-14,-4.330127018922165
2.65,70.0,1.9999999999999993,-5.0,2.0,-5.0,6.661338147750939e-16,-4.330127018922193
2.675,70.0,2.0000000000000004,-5.000000000000001,2.0,-5.0,7.691850745534255e-16,-4.330127018922194
2.7,70.0,2.9999999999999556,-4.999999999999978,3.0,-5.0,3.845925372767128e-14,-4.330127018922174
2.725,70.0,3.0000000000000018,-5.0000000000000036,3.0,-5.0,3.076740298213702e-15,-4.330127018922196
2.75,70.0,3.0,-5.0,3.0,-5.0,0.0,-4.330127018922193
2.775,70.0,3.0,-5.0,3.0,-5.0,0.0,-4.330127018922193
2.8,70.0,3.0000000000000018,-5.000000000000003,3.0,-5.0,2.3498992183808826e-15,-4.330127018922195
2.825,70.0,3.0,-5.0,3.0,-5.0,0.0,-4.330127018922193
2.85,70.0,3.000000000000002,-4.999999999999999,3.0,-5.0,2.7733362266239673e-15,-4.330127018922192
2.875,70.0,3.000000000000021,-5.000000000000006,3.0,-5.0,1.8561654030696642e-14,-4.330127018922198
2.9,70.0,3.999999999997739,-5.999999999998895,4.0,-6.0,1.958127110911234e-12,-5.196152422705675
2.925,70.0,4.000000000000052,-6.000000000000002,4.0,-6.0,5.1537313355268594e-14,-5.196152422706633
2.95,70.0,2.9999999999987796,-4.999999999999416,3.0,-5.0,1.0571741151532505e-12,-4.3301270189216865
2.975,70.0,2.9999999999999916,-5.999999999999998,3.0,-6.0,7.70465983141898e-15,-5.19615242270663
3.0,70.0,2.999999999999999,-5.999999999999998,3.0,-6.0,1.538370149106851e-15,-5.19615242270663
3.025,70.0,3.0000000000000013,-6.000000000000003,3.0,-6.0,2.3075552236602768e-15,-5.196152422706634
3.05,70.0,3.000000000000001,-6.000000000000002,3.0,-6.0,1.538370149106851e-15,-5.196152422706633
