family,shape,N,Theta,theta_deg,Fp,Fm,Fp_norm,Fm_norm,rho,hard_p,hard_m,res_p,res_m
hex,shell14,631,10.0,0.39809371432901647,3.34054554595813,1.365125219336357,0.9585165857208824,0.9598447053156418,0.41979569441852965,15.591375305856825,24.834416255176983,4.157802712487618e-14,4.860539760262573e-15
hex,shell14,631,11.0,0.4379030857619181,3.3099794563989735,1.353053841883488,0.9497461308954631,0.9513570973146442,0.4196679477361402,15.344094607951423,24.513376823734163,5.580179087749104e-15,6.548504339634516e-14
hex,shell14,631,12.0,0.47771245719481975,3.2764433077258444,1.3398088870273528,0.9401234646925463,0.9420443254086454,0.41952526400088325,15.077410793261627,24.16578446815577,2.7738705154869482e-14,3.4712693986212414e-14
hex,shell14,631,13.0,0.5175218286277214,3.239933300603344,1.325387759048586,0.9296474969530714,0.9319045644995123,0.4193671193194739,14.792378525170426,23.79266276310206,1.1539417607606097e-15,3.4860736365876884e-14
hex,shell14,631,14.0,0.5573312000606231,3.2004501802446756,1.3097892190732832,0.9183184415041528,0.9209369435121663,0.4191930391671226,14.4901113927681,23.395094472312152,4.753464851996409e-14,4.0629619339831974e-14
hex,shell14,631,15.0,0.5971405714935247,3.158000191042973,1.293013710647086,0.9061380900754061,0.9091417743117239,0.4190026186365645,14.171774108670423,22.97421522762602,2.0181891898862058e-14,1.0920812706174352e-13
hex,shell14,631,16.0,0.6369499429264264,3.112596009862706,1.275063685543344,0.8931100800921209,0.8965207807852212,0.4187955429276541,13.838574315034492,22.53120709754959,3.776382182651992e-14,2.9678553234420754e-14
hex,shell14,631,17.0,0.676759314359328,3.064257640286652,1.2559439249925248,0.8792401512652519,0.8830773247039335,0.4185716078220234,13.491754078383822,22.067292110235243,2.618385716280216e-14,4.935044636192156e-15
hex,shell14,631,18.0,0.7165686857922297,3.013013250852809,1.2356618515529958,0.8645363861102133,0.86881662500547,0.4183307399272284,13.132581162072661,21.583725793390588,1.1592713077706059e-14,4.170479802165819e-14
hex,shell14,631,19.0,0.7563780572251313,2.9588999415621284,1.2142278269418836,0.8490094298841204,0.8537459672041419,0.41807301654837115,12.762340170680972,21.081790790600692,1.8443422561675203e-14,3.8769251475899595e-15
hex,shell14,631,20.0,0.7961874286580329,2.9019644247190093,1.191655431307551,0.8326726859421761,0.8378748997525883,0.41779868516456636,12.382323662425263,20.562790609943242,1.557691703547288e-14,3.408906706772098e-14
hex,shell16,817,0.0,0.0,3.4851202323700723,1.4222355051564717,1.0,1.0,0.4203658421252659,16.82010841214327,26.412876826421346,8.87095905136776e-15,1.0024997255658694e-14
hex,shell16,817,1.0,0.03498557142706598,3.483684013923104,1.4216678971826258,0.9995878998854534,0.9996009043707684,0.4203604866904795,16.80738740039596,26.396669528613025,7.793209470589733e-14,2.6953422687332545e-14
hex,shell16,817,2.0,0.06997114285413196,3.4793739573198703,1.419964568143568,0.9983511974718031,0.9984032623256344,0.4203443747503646,16.76927760265579,26.348099478848486,5.44740691368733e-16,9.14510579287079e-16
hex,shell16,817,3.0,0.10495671428119793,3.4721859213517177,1.417124022260263,0.9962887045048777,0.9964060221547864,0.42031737050674206,16.705938396671307,26.267321845194914,1.2245123058468826e-14,2.9563575473316183e-15
hex,shell16,817,4.0,0.13994228570826392,3.4621132115988407,1.4131438315347318,0.9933985001270428,0.9936074766880892,0.42027925131658966,16.61763429567887,26.154594036489286,2.3307276945563207e-14,2.711776693658402e-14
hex,shell16,817,5.0,0.1749278571353299,3.4491468883312137,1.4080207322316272,0.9896780192244918,0.9900053311330597,0.4202297131889108,16.504733272367936,26.010273913148374,2.0638828194489394e-15,3.341780942460458e-14
hex,shell16,817,6.0,0.20991342856239587,3.4332761906022804,1.4017507580269601,0.9851241741142069,0.985596796694189,0.4201683784102321,16.36770441022029,25.834817317260665,2.7098677808123334e-14,3.128492417540382e-14
hex,shell16,817,7.0,0.24489899998946185,3.4144890696224848,1.394329407928288,0.9797335075870383,0.980378708640723,0.4200948052260655,16.207114881741617,25.628774955803415,6.490601290949309e-15,1.3497824259278567e-14
